Kraj,Skrot,Profit,Labour,Other,Filtr
Luksemburg,LU,4.6,15.7,0.5,Benelux
Chorwacja,HR,0,19.4,1.5,Balkany
Cypr,CY,9.5,13.4,1.8,Kraje srodziemnomorskie
Dania,DK,19.0,3.2,2.8,Skandynawia
Irlandia,IE,12.4,12.2,1.4,Wyspy
Bułgaria,BG,5,20.2,1.8,Balkany
Szwajcaria,CH,9.3,17.7,1.8,Inne
Islandia,IS,8.9,18.3,2.9,Wyspy
Wielka Brytania,GB,18.3,10.9,1.7,Wyspy
Słowenia,SI,12.7,18.2,0.1,Balkany
Łotwa,LV,6.3,26.6,3.0,Inne
Finlandia,FI,11.7,25.1,1.3,Skandynawia
Rumunia,RO,11.6,25.8,1,Balkany
Norwegia,NO,23.6,15.9,0,Skandynawia
Portugalia,PT,12.5,26.8,0.5,Inne
Holandia,NL,20.6,19.4,0.4,Benelux
Polska,PL,14.5,24.9,1.0,Polska i sasiedzi
Litwa,LT,5.9,35.2,1.6,Polska i sasiedzi
Malta,MT,32.4,10.9,0.5,Kraje srodziemnomorskie
Wegry,HU,9.9,34.3,2.3,Inne
Estonia,EE,7.9,38.8,2,Skandynawia
Niemcy,DE,23.2,21.3,4.4,Polska i sasiedzi
Hiszpania,ES,12.4,35.9,0.7,Kraje srodziemnomorskie
Szwecja,SE,13.1,35.4,0.6,Skandynawia
Czechy,CZ,9.1,38.4,2.5,Polska i sasiedzi
Grecja,GR,22.4,27.7,0.6,Kraje srodziemnomorskie
Austria,AT,16.9,34.2,0.5,Inne
Slowacja,SK,10.5,39.7,1.4,Polska i sasiedzi
Belgia,BE,9.1,48.9,0.7,Benelux
Wlochy,IT,17,43.4,1.6,Kraje srodziemnomorskie
Francja,FR,0.4,53.5,8.9,Inne