olimpiada;dyscyplina;olimpijczyk;rok_urodzenia;plec;konkurencja;medal;druzyna;liczba_osob;wiek
1976;siatkowka;Lubiejewski Zbigniew;1949;M;siatkowka;Z;T;12;27
1976;lekkoatletyka;Malinowski Bronislaw;1951;M;3000m steeplechase;S;I;1;25
1976;pilka nozna;Maszczyk Zygmunt;1945;M;pilka nozna;S;T;17;31
1976;pilka reczna;Melcer Jerzy;1949;M;pilka reczna;B;T;14;27
1976;pilka nozna;Mowlik Piotr;1951;M;pilka nozna;S;T;17;25
1976;kolarstwo;Mytnik Tadeusz;1949;M;team time trial;S;T;4;27
1976;kolarstwo;Nowicki Mieczyslaw;1951;M;individual road race;B;I;1;25
1976;kolarstwo;Nowicki Mieczyslaw;1951;M;team time trial;S;T;4;25
1976;pilka nozna;Ogaza Roman;1952;M;pilka nozna;S;T;17;24
1976;kajakarstwo;Opara Jerzy;1948;M;C-2 500m (canoe double);S;T;2;28
1976;lekkoatletyka;Pietrzyk Jerzy;1955;M;4x400m relay;S;T;4;21
1976;lekkoatletyka;Podlas Ryszard;1954;M;4x400m relay;S;T;4;22
1976;pilka reczna;Przybysz Ryszard;1950;M;pilka reczna;B;T;14;26
1976;piecioboj nowoczesny;Pyciak-Peciak Janusz;1949;M;Individual competition;Z;I;1;27
1976;pilka reczna;Rozmiarek Henryk;1949;M;pilka reczna;B;T;14;27
1976;pilka nozna;Rudy Wojciech;1952;M;pilka nozna;S;T;17;24
1976;podnoszenie ciezarow;Rutkowski Tadeusz;1951;M;91 - 110kg, total (heavyweight);B;I;1;25
1976;siatkowka;Rybaczewski Miroslaw;1952;M;siatkowka;Z;T;12;24
1976;boks;Rybicki Jerzy;1953;M;67 - 71kg (light-middleweight);Z;I;1;23
1976;siatkowka;Sadalski Wlodzimierz;1949;M;siatkowka;Z;T;12;27
1976;siatkowka;Skorek Edward;1943;M;siatkowka;Z;T;12;33
1976;zapasy;Skrzydlewski Andrzej;1946;M;90 - 100kg (heavyweight);B;I;1;30
1976;lekkoatletyka;Slusarski Tadeusz;1950;M;pole vault;Z;I;1;26
1976;pilka reczna;Sokolowski Andrzej;1948;M;pilka reczna;B;T;14;28
1976;siatkowka;Stefanski Wlodzimierz;1949;M;siatkowka;Z;T;12;27
1976;pilka nozna;Szarmach Andrzej;1950;M;pilka nozna;S;T;17;26
1976;boks;Szczerba Kazimierz;1954;M;60 - 63.5kg (light-welterweight);B;I;1;22
1976;lekkoatletyka;Szewinska Irena;1946;K;400m;Z;I;1;30
1976;kolarstwo;Szozda Stanislaw;1950;M;team time trial;S;T;4;26
1976;kolarstwo;Szurkowski Ryszard;1946;M;team time trial;S;T;4;30
1976;pilka nozna;Szymanowski Antoni;1951;M;pilka nozna;S;T;17;25
1976;pilka reczna;Szymczak Andrzej;1948;M;pilka reczna;B;T;14;28
1976;judo;Talaj Marian;1950;M;63 - 70kg (half-middleweight);B;I;1;26
1976;pilka nozna;Tomaszewski Jan;1948;M;pilka nozna;S;T;17;28
1976;pilka nozna;Wawrowski Henryk;1949;M;pilka nozna;S;T;17;27
1976;lekkoatletyka;Werner Jan;1946;M;4x400m relay;S;T;4;30
1976;pilka nozna;Wieczorek Henryk;1949;M;pilka nozna;S;T;17;27
1976;pilka reczna;Wojczak Mieczyslaw;1951;M;pilka reczna;B;T;14;25
1976;siatkowka;Wojtowicz Tomasz;1953;M;siatkowka;Z;T;12;23
1976;lekkoatletyka;Wszola Jacek;1956;M;high jump;Z;I;1;20
1976;siatkowka;Zarzycki Zbigniew;1946;M;siatkowka;Z;T;12;30
1976;pilka reczna;Zielinski Wlodzimierz;1955;M;pilka reczna;B;T;14;21
1976;pilka nozna;Zmuda Wladyslaw;1954;M;pilka nozna;S;T;17;22
1980;boks;Adach Kazimierz;1957;M;57 - 60kg (lightweight);B;I;1;23
1980;zapasy;Bierla Roman;1957;M;90 - 100kg (heavyweight);S;I;1;23
1980;jezdziectwo;Bobik Janusz;1955;M;team;S;T;4;25
1980;szermierka;Chronowski Ludomir;1959;M;épée team;S;T;5;21
1980;zapasy;Cichon Aleksander;1958;M;82 - 90kg (light-heavyweight);B;I;1;22
1980;plywanie;Czopek Agnieszka;1964;K;400m individual medley;B;I;1;16
1980;podnoszenie ciezarow;Dembonczyk Tadeusz;1955;M;- 56kg, total (bantamweight);B;I;1;25
1980;wioslarstwo;Dluzewska Malgorzata;1958;K;pair without coxswain (2-);S;T;2;22
1980;zapasy;Dolgowicz Jan;1954;M;74 - 82kg (middleweight);S;I;1;26
1980;lekkoatletyka;Dunecki Leszek;1956;M;4x100m relay;S;T;4;24
1980;jezdziectwo;Hartman Wieslaw;1950;M;team;S;T;4;30
1980;szermierka;Jablkowski Piotr;1958;M;épée team;S;T;5;22
1980;lekkoatletyka;Kielan Urszula;1960;K;high jump;S;I;1;20
1980;wioslarstwo;Koscianska Czeslawa;1959;K;pair without coxswain (2-);S;T;2;21
1980;boks;Kosedowski Krzysztof;1960;M;54 - 57kg (featherweight);B;I;1;20
1980;jezdziectwo;Kowalczyk Jan;1941;M;individual;Z;I;1;39
1980;jezdziectwo;Kowalczyk Jan;1941;M;team;S;T;4;39
1980;lekkoatletyka;Kozakiewicz Wladyslaw;1953;M;pole vault;Z;I;1;27
1980;jezdziectwo;Kozicki Marian;1941;M;team;S;T;4;39
1980;szermierka;Koziejowski Lech;1949;M;foil team;B;T;4;31
1980;wioslarstwo;Kubiak Ryszard;1950;M;four-oared shell with coxswain (4-);B;T;5;30
1980;kolarstwo;Lang Czes³aw;1955;M;individual road race;S;I;1;25
1980;lekkoatletyka;Langer Lucyna;1956;K;100m hurdles;B;I;1;24
1980;lekkoatletyka;Licznerski Zenon;1954;M;4x100m relay;S;T;4;26
1980;zapasy;Lipien Josef;1949;M;52 - 57kg (bantamweight);S;I;1;31
1980;szermierka;Lis Andrzej;1959;M;épée team;S;T;5;21
1980;lekkoatletyka;Malinowski Bronislaw;1951;M;3000m steeplechase;Z;I;1;29
1980;wioslarstwo;Nowak Grzegorz;1954;M;four-oared shell with coxswain (4-);B;T;5;26
1980;judo;Pawlowski Janusz;1959;M;60 - 65kg (half-lightweight);B;I;1;21
1980;szermierka;Robak Adam;1957;M;foil team;B;T;4;23
1980;podnoszenie ciezarow;Rutkowski Tadeusz;1951;M;+ 110kg, total (super heavyweight);B;I;1;29
1980;boks;Rybicki Jerzy;1953;M;71-75kg;B;I;1;27
1980;zapasy;Sandurski Adam;1953;M;+ 100kg (super heavyweight);B;I;1;27
1980;podnoszenie ciezarow;Seweryn Marek;1957;M;56 - 60kg, total (featherweight);B;I;1;23
1980;boks;Skrzecz Pawel;1957;M;75 - 81kg (light-heavyweight);S;I;1;23
1980;lekkoatletyka;Slusarski Tadeusz;1950;M;pole vault;S;I;1;30
1980;wioslarstwo;Stadniuk Ryszard;1951;M;four-oared shell with coxswain (4-);B;T;5;29
1980;zapasy;Stecyk Wladyslaw;1951;M;48 - 52kg (flyweight);S;I;1;29
1980;wioslarstwo;Stellak Grzegorz;1951;M;four-oared shell with coxswain (4-);B;T;5;29
1980;szermierka;Strzalka Mariusz;1959;M;épée team;S;T;5;21
1980;zapasy;Supron Andrzej;1952;M;62 - 68kg (lightweight);S;I;1;28
1980;szermierka;Swornowski Leszek;1955;M;épée team;S;T;5;25
1980;szermierka;Sypniewski Marian;1955;M;foil team;B;T;4;25
1980;boks;Szczerba Kazimierz;1954;M;63.5 - 67kg (welterweight);B;I;1;26
1980;wioslarstwo;Tomasiak Adam;1953;M;four-oared shell with coxswain (4-);B;T;5;27
1980;lekkoatletyka;Woronin Marian;1956;M;4x100m relay;S;T;4;24
1980;lekkoatletyka;Wszola Jacek;1956;M;high jump;S;I;1;24
1980;szermierka;Wysoczanska Barbara;1949;K;foil individual;B;I;1;31
1980;lekkoatletyka;Zwolinski Krzysztof;1959;M;4x100m relay;S;T;4;21
1980;szermierka;Zych Boguslaw;1951;M;foil team;B;T;4;29
1988;kajakarstwo;Dopierala Marek;1960;M;C-2 1000m (canoe double);B;T;2;28
1988;kajakarstwo;Dopierala Marek;1960;M;C-2 500m (canoe double);S;T;2;28
1988;boks;Dydak Jan;1968;M;63.5 - 67kg (welterweight);B;I;1;20
1988;kajakarstwo;Dylewska-Swiatowiak Izabela;1968;K;K-1 500m (kayak single);B;I;1;20
1988;zapasy;Glab Andrzej;1966;M;- 48kg (light-flyweight);S;I;1;22
1988;boks;Golota Andrzej;1968;M;81 - 91kg (heavyweight);B;I;1;20
1988;kolarstwo;Halupczok Joachim;1968;M;team time trial;S;T;4;20
1988;kolarstwo;Jaskula Zenon;1962;M;team time trial;S;T;4;26
1988;kajakarstwo;Lbik Marek;1958;M;C-2 1000m (canoe double);B;T;2;30
1988;kajakarstwo;Lbik Marek;1958;M;C-2 500m (canoe double);S;T;2;30
1988;judo;Legien Waldemar;1963;M;71 - 78kg (half-middleweight);Z;I;1;25
1988;kolarstwo;Lesniewski Marek;1963;M;team time trial;S;T;4;25
1988;szermierka;Olech Janusz;1965;M;sabre individual;S;I;1;23
1988;judo;Pawlowski Janusz;1959;M;60 - 65kg (half-lightweight);S;I;1;29
1988;boks;Petrich Henryk;1959;M;75 - 81kg (light-heavyweight);B;I;1;29
1988;kolarstwo;Sypytkowski Andrzej;1963;M;team time trial;S;T;4;25
1988;zapasy;Tracz Jozef;1964;M;68 - 74kg (welterweight);B;I;1;24
1988;plywanie;Wojdat Artur;1968;M;400m freestyle;B;I;1;20
1988;zapasy;Wronski Andrzej;1965;M;90 - 100kg (heavyweight);Z;I;1;23
1988;boks;Zarenkiewicz Janusz;1959;M;+ 91kg (super heavyweight);B;I;1;29
1988;podnoszenie ciezarow;Zawada Slawomir;1965;M;82.5 - 90kg, total (middle-heavyweight);B;I;1;23
1992;boks;Bartnik Wojciech;1967;M;75 - 81kg (light-heavyweight);B;I;1;25
1992;kajakarstwo;Bialkowski Dariusz;1970;M;K-2 1000m (kayak double);B;T;2;22
1992;wioslarstwo;Broniewski Kajetan;1963;M;single sculls (1x);B;I;1;29
1992;pilka nozna;Brzeczek Jerzy;1971;M;pilka nozna;S;T;12;21
1992;wioslarstwo;Cieslak Michal;1968;M;four-oared shell with coxswain (4-);B;T;5;24
1992;piecioboj nowoczesny;Czyzowicz Maciej;1962;M;Team competition;Z;T;3;30
1992;kajakarstwo;Dylewska-Swiatowiak Izabella;1968;K;K-1 500m (kayak single);B;I;1;24
1992;kajakarstwo;Freimut Maciej;1967;M;K-2 500m (kayak double);S;T;2;25
1992;pilka nozna;Gesior Dariusz;1969;M;pilka nozna;S;T;12;23
1992;piecioboj nowoczesny;Gozdziak Dariusz;1962;M;Team competition;Z;T;3;30
1992;pilka nozna;Jalocha Marcin;1971;M;pilka nozna;S;T;12;21
1992;wioslarstwo;Jankowski Wojciech;1963;M;four-oared shell with coxswain (4-);B;T;5;29
1992;pilka nozna;Juskowiak Andrzej;1970;M;pilka nozna;S;T;12;22
1992;szermierka;Kielpikowski Piotr;1962;M;foil team;B;T;5;30
1992;pilka nozna;Kobylanski Andrzej;1970;M;pilka nozna;S;T;12;22
1992;kajakarstwo;Kotowicz Grzegorz;1973;M;K-2 1000m (kayak double);B;T;2;19
1992;pilka nozna;Kowalczyk Wojciech;1972;M;pilka nozna;S;T;12;20
1992;pilka nozna;Kozminski Marek;1971;M;pilka nozna;S;T;12;21
1992;szermierka;Krzesinski Adam;1965;M;foil team;B;T;5;27
1992;strzelectwo;Ksiazkiewicz Malgorzata;1967;K;50m rifle 3 positions (3x20 shots);B;I;1;25
1992;kajakarstwo;Kurpiewski Wojciech;1966;M;K-2 500m (kayak double);S;T;2;26
1992;pilka nozna;Lapinski Tomasz;1969;M;pilka nozna;S;T;12;23
1992;wioslarstwo;Lasicki Maciej;1965;M;four-oared shell with coxswain (4-);B;T;5;27
1992;judo;Legien Waldemar;1963;M;78 - 86kg (middleweight);Z;I;1;29
1992;podnoszenie ciezarow;Malak Waldemar;1970;M;90 - 100kg, total (first-heavyweight);B;I;1;22
1992;lekkoatletyka;Partyka Artur;1969;M;high jump;B;I;1;23
1992;podnoszenie ciezarow;Siemion Krzysztof;1966;M;75 - 82.5kg, total (light-heavyweight);S;I;1;26
1992;szermierka;Siess Cezary;1968;M;foil team;B;T;5;24
1992;piecioboj nowoczesny;Skrzypaszek Arkadiusz;1968;M;Individual competition;Z;I;1;24
1992;piecioboj nowoczesny;Skrzypaszek Arkadiusz;1968;M;Team competition;Z;T;3;24
1992;szermierka;Sobczak Ryszard;1967;M;foil team;B;T;5;25
1992;pilka nozna;Staniek Ryszard;1971;M;pilka nozna;S;T;12;21
1992;zapasy;Stepien Piotr;1963;M;74 - 82kg (middleweight);S;I;1;29
1992;wioslarstwo;Streich Jacek;1967;M;four-oared shell with coxswain (4-);B;T;5;25
1992;pilka nozna;Swierczewski Piotr;1972;M;pilka nozna;S;T;12;20
1992;szermierka;Sypniewski Marian;1955;M;foil team;B;T;5;37
1992;plywanie;Szukala Rafal;1971;M;100m butterfly;S;I;1;21
1992;wioslarstwo;Tomiak Tomasz;1967;M;four-oared shell with coxswain (4-);B;T;5;25
1992;zapasy;Tracz Jozef;1964;M;68 - 74kg (welterweight);S;I;1;28
1992;pilka nozna;Waldoch Tomasz;1971;M;pilka nozna;S;T;12;21
1992;podnoszenie ciezarow;Wolczaniecki Sergiusz;1964;M;82.5 - 90kg, total (middle-heavyweight);B;I;1;28
1996;podnoszenie ciezarow;Cofalik Andrzej;1968;M;76 - 83kg, total (light-heavyweight);B;I;1;28
1996;lucznictwo;Dzieciol Iwona;1975;K;team (FITA Olympic round - 70m);B;T;3;21
1996;zapasy;Fafinski Jacek;1970;M;82 - 90kg (light-heavyweight);S;I;1;26
1996;szermierka;Kielpikowski Piotr;1962;M;foil team;S;T;3;34
1996;lucznictwo;Klata Katarzyna;1972;K;team (FITA Olympic round - 70m);B;T;3;24
1996;lekkoatletyka;Korzeniowski Robert;1968;M;50km walk;Z;I;1;28
1996;szermierka;Krzesinski Adam;1965;M;foil team;S;T;3;31
1996;zeglarstwo;Kusznierewicz Mateusz;1975;M;single-handed dinghy (Finn);Z;I;1;21
1996;kajakarstwo;Markiewicz Piotr;1973;M;K-1 500m (kayak single);B;I;1;23
1996;strzelectwo;Mauer Renata;1969;K;10m air rifle (40 shots);Z;I;1;27
1996;strzelectwo;Mauer Renata;1969;K;50m rifle 3 positions (3x20 shots);B;I;1;27
1996;judo;Nastula Pawel;1970;M;90 - 100kg (half-heavyweight);Z;I;1;26
1996;lucznictwo;Nowicka Joanna;1966;K;team (FITA Olympic round - 70m);B;T;3;30
1996;lekkoatletyka;Partyka Artur;1969;M;high jump;S;I;1;27
1996;strzelectwo;Rzepkowski Miroslaw;1959;M;skeet (125 targets);S;I;1;37
1996;szermierka;Sobczak Ryszard;1967;M;foil team;S;T;3;29
1996;judo;Szczepanska Aneta;1974;K;61 - 66kg (middleweight);S;I;1;22
1996;zapasy;Tracz Jozef;1964;M;68 - 74kg (welterweight);B;I;1;32
1996;zapasy;Wolny Ryszard;1969;M;62 - 68kg (lightweight);Z;I;1;27
1996;zapasy;Wronski Andrzej;1965;M;90 - 100kg (heavyweight);Z;I;1;31
1996;zapasy;Zawadzki Wlodzimierz;1967;M;57 - 62kg (featherweight);Z;I;1;29
2000;kajakarstwo;Baraszkiewicz Pawel;1977;M;C-2 500m (canoe double);S;T;2;23
2000;kajakarstwo;Bialkowski Dariusz;1970;M;K-4 1000m (kayak four);B;T;4;30
2000;gimnastyka;Blanik Leszek;1977;M;vault;B;I;1;23
2000;szermierka;Gruchala Sylwia;1971;K;foil team;S;T;4;29
2000;kajakarstwo;Jedraszko Daniel;1976;M;C-2 500m (canoe double);S;T;2;24
2000;podnoszenie ciezarow;Kolecki Szymon;1981;M;94kg;S;I;1;19
2000;kajakarstwo;Kolomanski Krzysztof;1973;M;C-2 (canoe double);S;T;2;27
2000;lekkoatletyka;Korzeniowski Robert;1968;M;20km walk;Z;I;1;32
2000;lekkoatletyka;Korzeniowski Robert;1968;M;50km walk;Z;I;1;32
2000;kajakarstwo;Kotowicz Grzegorz;1973;M;K-4 1000m (kayak four);B;T;4;27
2000;wioslarstwo;Kucharski Tomasz;1974;M;lightweight double sculls (2x);Z;T;2;26
2000;strzelectwo;Mauer Renata;1969;K;50m rifle 3 positions (3x20 shots);Z;I;1;31
2000;szermierka;Mroczkiewicz Magdalena;1979;K;foil team;S;T;4;21
2000;kajakarstwo;Pastuszka Aneta;1978;K;K-2 500m (kayak double);B;T;2;22
2000;szermierka;Rybicka Anna;1977;K;foil team;S;T;4;23
2000;kajakarstwo;Seroczynski Adam;1974;M;K-4 1000m (kayak four);B;T;4;26
2000;lekkoatletyka;Skolimowska Kamila;1982;K;hammer throw;Z;I;1;18
2000;kajakarstwo;Sokolowska Kulesza Beata;1974;K;K-2 500m (kayak double);B;T;2;26
2000;kajakarstwo;Staniszewski Michal;1973;M;C-2 (canoe double);S;T;2;27
2000;wioslarstwo;Sycz Robert;1973;M;lightweight double sculls (2x);Z;T;2;27
2000;szermierka;Szewczyk Barbara;1970;K;foil team;S;T;4;30
2000;kajakarstwo;Witkowski Marek;1974;M;K-4 1000m (kayak four);B;T;4;26
2000;podnoszenie ciezarow;Wrobel Agata;1981;K;+ 75kg;S;I;1;19
2000;lekkoatletyka;Ziolkowski Szymon;1976;M;hammer throw;Z;I;1;24
2004;szermierka;Gruchala Sylwia;1971;K;foil individual;B;I;1;33
2004;plywanie;Jedrzejczak Otylia;1983;K;100m butterfly;S;I;1;21
2004;plywanie;Jedrzejczak Otylia;1983;K;200m butterfly;Z;I;1;21
2004;plywanie;Jedrzejczak Otylia;1983;K;400m freestyle;S;I;1;21
2004;lekkoatletyka;Korzeniowski Robert;1968;M;50km walk;Z;I;1;36
2004;wioslarstwo;Kucharski Tomasz;1974;M;lightweight double sculls (2x);Z;T;2;30
2004;zeglarstwo;Kusznierewicz Mateusz;1975;M;single-handed dinghy (Finn);B;I;1;29
2004;kajakarstwo;Pastuszka Aneta;1978;K;K-2 500m (kayak double);B;T;2;26
2004;lekkoatletyka;Rogowska Anna;1981;K;pole vault;B;I;1;23
2004;kajakarstwo;Sokolowska Kulesza Beata;1974;K;K-2 500m (kayak double);B;T;2;30
2004;wioslarstwo;Sycz Robert;1973;M;lightweight double sculls (2x);Z;T;2;31
2004;podnoszenie ciezarow;Wrobel Agata;1981;K;+ 75kg;B;I;1;23
2008;szermierka;Andrzejuk Robert;1975;M;épée team;S;T;4;33
2008;wioslarstwo;Bernatajtys Milosz;1982;M;lightweight coxless four (4-);S;T;4;26
2008;gimnastyka;Blanik Leszek;1977;M;vault;Z;I;1;31
2008;wioslarstwo;Jelinski Michal;1980;M;quadruple sculls without coxswain (4x);Z;T;4;28
2008;wioslarstwo;Kolbowicz Marek;1971;M;quadruple sculls without coxswain (4x);Z;T;4;37
2008;podnoszenie ciezarow;Kolecki Szymon;1981;M;94kg;S;I;1;27
2008;kajakarstwo;Konieczna Aneta;1978;K;K-2 500m (kayak double);S;T;2;30
2008;wioslarstwo;Korol Adam;1974;M;quadruple sculls without coxswain (4x);Z;T;4;34
2008;lekkoatletyka;Majewski Tomasz;1981;M;shot put;Z;I;1;27
2008;lekkoatletyka;Malachowski Piotr;1983;M;discus throw;S;I;1;25
2008;kajakarstwo;Mikolajczyk Beata;1985;K;K-2 500m (kayak double);S;T;2;23
2008;szermierka;Motyka Tomasz;1981;M;épée team;S;T;4;27
2008;wioslarstwo;Pawelczak Bartlomiej;1982;M;lightweight coxless four (4-);S;T;4;26
2008;wioslarstwo;Pawlowski Lukasz;1983;M;lightweight coxless four (4-);S;T;4;25
2008;wioslarstwo;Randa Pawel;1979;M;lightweight coxless four (4-);S;T;4;29
2008;wioslarstwo;Wasielewski Konrad;1984;M;quadruple sculls without coxswain (4x);Z;T;4;24
2008;szermierka;Wiercioch Adam;1980;M;épée team;S;T;4;28
2008;zapasy;Wieszczek Agnieszka;1983;K;63 - 72kg;B;I;1;25
2008;kolarstwo;Wloszczowska Maja;1983;K;cross-country;S;I;1;25
2008;szermierka;Zawrotniak Radoslaw;1981;M;épée team;S;T;4;27
2012;lekkoatletyka;Majewski Tomasz;1981;M;shot put;Z;I;1;31
2012;podnoszenie ciezarow;Zielinski Adrian;1989;M;85 kg;Z;I;1;23
2012;lekkoatletyka;Wlodarczyk Anita;1985;K;hammer throw;S;I;1;27
2012;strzelectwo;Bogacka Sylwia;1981;K;10m air rifle;S;I;1;31
2012;kajakarstwo;Mikolajczyk Beata;1985;K;K-2 500m (kayak double);B;T;2;27
2012;kajakarstwo;Naja Karolina;1990;K;K-2 500m (kayak double);B;T;2;22
2012;podnoszenie ciezarow;Bonk Bartlomiej;1984;M;105 kg;B;I;1;28
2012;wioslarstwo;Fularczyk Magdalena;1986;K;double sculls (2x);B;T;2;26
2012;wioslarstwo;Michalska Julia;1985;K;double sculls (2x);B;T;2;27
2012;zapasy;Janikowski Damian;1989;M;84 kg;B;I;1;23
2012;zeglarstwo;Miarczynski Przemyslaw;1979;M;windsurfing RS: X class;B;I;1;33
2012;zeglarstwo;Noceti Klepacka Zofia;1986;K;windsurfing RS: X class;B;I;1;26
2016;kolarstwo;Majka Rafal;1989;M;individual road race;B;I;1;27
2016;lekkoatletyka;Wlodarczyk Anita;1985;K;hammer throw;Z;I;1;31
2016;wioslarstwo;Fularczyk Kozlowska Magdalena;1986;K;double sculls (2x);Z;T;2;30
2016;wioslarstwo;Madaj Natalia;1988;K;double sculls (2x);Z;T;2;28
2016;lekkoatletyka;Malachowski Piotr;1983;M;discus throw;S;I;1;33
2016;kajakarstwo;Walczykiewicz Marta;1987;K;K-1 200m (kayak single);S;I;1;29
2016;kolarstwo;Wloszczowska Maja;1983;K;cross-country;S;I;1;33
2016;zapasy;Michalik Monika;1980;K;63 kg;B;I;1;36
2016;piecioboj nowoczesny;Nowacka Oktawia;1991;K;Individual competition;B;I;1;25
2016;lekkoatletyka;Nowicki Wojciech;1989;M;hammer throw;B;I;1;27
2016;kajakarstwo;Mikolajczyk Beata;1985;K;K-2 500m (kayak double);B;T;2;31
2016;kajakarstwo;Naja Karolina;1990;K;K-2 500m (kayak double);B;T;2;26
2016;wioslarstwo;Ciaciuch Monika;1992;K;quadruple sculls without coxswain (4x);B;T;4;24
2016;wioslarstwo;Kobus Agnieszka;1990;K;quadruple sculls without coxswain (4x);B;T;4;26
2016;wioslarstwo;Leszczynska Joanna;1988;K;quadruple sculls without coxswain (4x);B;T;4;28
2016;wioslarstwo;Springwald Maria;1991;K;quadruple sculls without coxswain (4x);B;T;4;25
